time,open,high,low,close
1645695000,1944.585,1949.29,1943.465,1947.9
1645695900,1947.9,1954.385,1947.425,1953.546
1645696800,1953.546,1961.21,1953.06,1960.85
1645697700,1960.85,1973.316,1960.395,1968.82
1645698600,1968.82,1972.17,1966.08,1970.825
1645699500,1970.825,1974.485,1968.25,1973.865
1645700400,1973.865,1974.02,1968.865,1970.865
1645701300,1970.865,1972.705,1969.84,1970.86
1645702200,1970.86,1971.81,1967.9,1969.89
1645703100,1969.89,1970.95,1961.586,1961.795
1645704000,1961.795,1965.015,1960.035,1960.76
1645704900,1960.76,1962.09,1950.67,1957.66
1645705800,1957.66,1963.94,1954.735,1963.47
1645706700,1963.47,1963.81,1959.215,1962.844
1645707600,1962.844,1967.19,1961.84,1962.47
1645708500,1962.47,1966.91,1962.45,1965.605
1645709400,1965.605,1966.46,1959.654,1959.72
1645710300,1959.72,1959.815,1955.825,1959.295
1645711200,1959.295,1963.19,1955.545,1957.11
1645712100,1957.11,1957.18,1951.95,1955.78
1645713000,1955.78,1955.835,1933.56,1937.66
1645713900,1937.66,1940.556,1930.705,1934.67
1645714800,1934.67,1940.75,1933.925,1934.8
1645715700,1934.8,1935.98,1913.485,1920.255
1645716600,1920.255,1928.91,1919.55,1926.9
1645717500,1926.9,1929.13,1922.68,1928.866
1645718400,1928.866,1930.32,1923.44,1924.886
1645719300,1924.886,1926.755,1920.605,1923.195
1645720200,1923.195,1925.215,1920.475,1923.84
1645721100,1923.84,1924.61,1921.255,1921.805
1645722000,1921.805,1923.126,1916.71,1922.96
1645722900,1922.96,1925.7,1922.1,1924.895
1645723800,1924.895,1925.705,1922.555,1924.375
1645724700,1924.375,1925.395,1922.99,1923.715
1645725600,1923.715,1925.03,1921.97,1923.665
1645726500,1923.665,1925.416,1922.205,1925.03
1645727400,1925.03,1927.026,1920.95,1924.826
1645728300,1924.826,1926.045,1916.304,1920.24
1645729200,1920.24,1920.39,1902.56,1904.48
1645730100,1904.48,1906.63,1884.7,1889.49
1645731000,1889.49,1892.06,1878.095,1886.15
1645731900,1886.15,1891.095,1885.934,1888.19
1645732800,1888.19,1888.69,1880.4,1885.954
1645733700,1885.954,1895.875,1885.474,1894.29
1645734600,1894.29,1896.41,1890.78,1895.595
1645735500,1895.595,1898.195,1895.595,1898.186
1645736400,1898.186,1900.964,1895.28,1898.48
1645737300,1898.48,1906.13,1898.265,1903.195
1645738200,1903.195,1903.44,1901.82,1903.22
1645739100,1903.22,1904.22,1902.13,1904.015
1645743600,1904.015,1907.945,1904.015,1906.68
1645744500,1906.68,1913.746,1906.495,1911.62
1645745400,1911.62,1912.86,1906.145,1907.895
1645746300,1907.895,1908.16,1904.1,1906.656
1645747200,1906.656,1907.086,1904.455,1905.955
1645748100,1905.955,1909.636,1905.37,1909.595
1645749000,1909.595,1912.406,1909.015,1909.46
1645749900,1909.46,1913.145,1908.576,1912.865
1645750800,1912.865,1921.91,1912.534,1916.79
1645751700,1916.79,1918.05,1909.495,1911.105
1645752600,1911.105,1911.91,1906.38,1909.625
1645753500,1909.625,1910.555,1907.934,1909.545
1645754400,1909.545,1910.12,1908.006,1909.625
1645755300,1909.625,1914.455,1908.855,1914.39
1645756200,1914.39,1915.33,1910.975,1913.95
1645757100,1913.95,1914.485,1911.926,1913.335
1645758000,1913.335,1914.8,1912.17,1914.655
1645758900,1914.655,1916.3,1913.62,1913.865
1645759800,1913.865,1913.95,1913.03,1913.455
1645760700,1913.455,1917.156,1912.81,1914.325
1645761600,1914.325,1915.225,1913.815,1914.65
1645762500,1914.65,1914.765,1911.71,1912.04
1645763400,1912.04,1913.205,1912.04,1912.89
1645764300,1912.89,1912.95,1910.935,1912.16
1645765200,1912.16,1914.12,1911.28,1913.425
